Adoszam,Cegnev,ir.szam,Szekhely,TEÁOR,Tevekenyseg,e-mail,net_arbevetele,eredmeny,Tulajdonos,Helyseg,Jogallas,Varmegye,Terulet_hektar,Nepesseg,Lakasok_szama,bolgár  ,görög  ,horvát  ,lengyel  ,német  ,örmény  ,roma,román  ,ruszin  ,szerb  ,szlovák  ,szlovén  ,ukrán  
10445567-2-09,Kerekes Kft.,4211,Ebes,4639'25,"Élelmiszer, ital, dohányáru vegyes nagykereskedelme",info@kerekeskft.hu,71574354,2414406,"VÉGSŐ INVEST Szolgáltató Korlátolt Felelősségű Társaság,SEKER FZC,HANSA INVEST Vagyonkezelő Zártkörűen Működő Részvénytársaság,Hansa Vagyonkezelő Zártkörűen Működő Részvénytársaság,Szűcs Péter",Ebes,község,Hajdú-Bihar,7730,4627,1712,,,,,,,,,,,,,
32112825-2-13,Dunai Villamos Kazán Kft.,2440,Százhalombatta,3530'25,"Gőzellátás, légkondicionálás",dunai.villamos.kazan@dert.hu,3602545,2395768,Dunamenti Erőmű Zártkörűen Működő Részvénytársaság,Százhalombatta,város,Pest,2806,18115,7841,,,,,,,,1,,1,,,
14291896-2-08,MHC Mobility Zrt.,9024,Győr,7711'25,Személygépjármű kölcsönzése,info@eurofleet.hu,11880668,2394283,MHC Mobility Sp. z o.o.,Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
13799339-2-07,POLYAX Kft.,8000,Székesfehérvár,2553'25,Fémmegmunkálás,info@polyax.hu,4672201,2127282,Gál Balázs,Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
25352122-2-07,VERTIKAL Group Nyrt.,8154,Polgárdi,2226'25,Egyéb műanyag termék gyártása,kozpont@vertikalgroup.hu,20981729,2117606,"Abelon Kft.,Egyéb részvényesek (VERTIKAL Group Nyrt.)",Polgárdi,város,Fejér,7216,6621,2432,,,,,,,1,,,,,,
11354107-2-44,ROYAL SPED ZRt,1239,Budapest,5226'25,"Egyéb, szállítást kiegészítő szolgáltatás",jog@royalsped.eu,16715314,2191969,"HIGH YIELD Vagyonkezelő Zártkörűen Működő Részvénytársaság,Egyéb részvényes (ROYAL SPED ZRt)",Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
32028713-2-44,MKIF Zrt.,2040,Budaörs,5221'25,Szárazföldi szállítást kiegészítő szolgáltatás,cegkapu_mkif@mkif.hu,195215000,2091000,"KONZUM PE Magántőkealap,OPUS NEW WAY Magántőkealap,OPUS BRIDGE Magántőkealap,THEMIS Magántőkealap,CRONUS Magántőkealap,VIA Magántőkealap,VESTA Magántőkealap",Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
14664412-4-19,Wodianer Kereskedelmi Ipari Park Kft,8200,Veszprém,6811'25,Saját tulajdonú ingatlan adásvétele,wodianerkft@wodianerkft.hu,2191950,2086071,"Nerium Holding Zártkörűen Működő Részvénytársaság,Tardora Invest Zártkörűen Működő Részvénytársaság",Veszprém,"megyeszékhely, megyei jogú város",Veszprém,12692,55118,27698,,,,1,1,1,1,,,,,,1
10977585-2-07,LINDSTRÖM Kft.,8000,Székesfehérvár,9610'25,"Textil, szőrme mosása, tisztítása",anna.vidusne@lindstromgroup.com,10622132,2079658,Lindström O.Y.,Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
23054914-2-13,UPS Healthcare Hungary Zrt.,2040,Budaörs,5210'25,"Raktározás, tárolás",hatosag@sz-k-t.hu,74916254,2078097,"UPS International, Inc.",Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
25719891-2-44,GE Aviation Hungary Kft.,2112,Veresegyház,3316'25,"Polgári légi, űrjármű javítása, karbantartása",krisztina.juhasz@ge.com,153141000,69729000,"GE Aerospace Ireland Inc.,GE Aerospace AC Holdings, Inc.",Veresegyház,város,Pest,2868,21129,7903,,,,,,,1,,,,,,1
10970791-2-07,Harman Becker Kft.,8000,Székesfehérvár,2630'25,Híradástechnikai berendezés gyártása,hajnalka.arki@harman.com,754307180,51543756,Harman Holding GmbH & Co. KG,Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
12687242-2-16,Dometic Zrt.,5100,Jászberény,2751'25,Háztartási villamos készülék gyártása,info@dometic.com,24548544,1410965,Dometic Sweden AB,Jászberény,város,Jász-Nagykun-Szolnok,22135,25323,12680,,,,,,,1,,,,,,
10542547-2-05,Modine Hungária Kft.,3401,Mezőkövesd,2599'25,M.n.s. egyéb fémfeldolgozási termék gyártása,management-mh@modine.com,58828323,44688399,Modine Thermal Systems Europe GmbH,Mezőkövesd,város,Borsod-Abaúj-Zemplén,10049,15413,7645,,,,,,,1,,,,,,
23029132-2-07,Talentis Group Zrt.,8086,Felcsút,7020'25,"Üzletviteli, egyéb üzletvezetési tanácsadás",,3569000,44328000,Mészáros Lőrinc,Felcsút,község,Fejér,2202,2014,725,,,,,,,,,,,,,
12543331-2-14,FGSZ Zrt.,8600,Siófok,4950'25,Csővezetékes szállítás,info@fgsz.hu,120804000,43917000,MOL Magyar Olaj- és Gázipari Nyilvánosan Működő Részvénytársaság,Siófok,város,Somogy,12466,23806,16160,,,,,1,,1,,,,,,
10276451-2-16,Samsung Zrt .,5126,Jászfényszaru,2630'25,Híradástechnikai berendezés gyártása,m.munkacsi@samsung.com,836407000,36098000,Samsung Electronics Co. Ltd.,Jászfényszaru,város,Jász-Nagykun-Szolnok,7616,5876,2628,,,,,,,,,,,,,
11181815-2-07,VIDEOTON HOLDING ZRt.,8000,Székesfehérvár,6820'25,"Saját tulajdonú, bérelt ingatlan bérbeadása, üzemeltetése",vthjogi@videoton.hu,19435408,35941391,"SGH Vagyonkezelő Korlátolt Felelősségű Társaság,LPH Vagyonkezelő Korlátolt Felelősségű Társaság,SOH Vagyonkezelő Korlátolt Felelősségű Társaság,EUROINVEST Közép-Európai Befektetési Korlátolt Felelősségű Társaság,Széles Gábor,Lakatos Péter,Sinkó Ottó,Magyar Hitel Bank Rt.",Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
25509410-2-09,Flowserve Hungary Services Kft.,4034,Debrecen,8299'25,M.n.s. egyéb üzletmenetet támogató szolgáltatás,flshungaryservices@flowserve.com,8083925,35854661,"Flowserve Global Holdings Hungary Korlátolt Felelősségű Társaság ""végelszámolás alatt""",Debrecen,"megyeszékhely, megyei jogú város",Hajdú-Bihar,46166,202130,100621,1,1,,1,1,1,1,1,1,,,,1
12005143-2-13,Koelner Hungária Kft,2330,Dunaharaszti,4690'25,Vegyes termékkörű nagykereskedelem,info@koelner.hu,8395629,2072002,"RAWLPLUG S.A.,Tari András István,Tari István,Dr. Tari Bernadett Zsuzsanna",Dunaharaszti,város,Pest,2917,23700,9196,,,,,1,,1,,,,,,
11857552-2-15,ERDŐHÁT ZRt.,4967,Csaholc,0141'25,Tejhasznú szarvasmarha tenyésztése,erdohat@t-online.hu,3977225,1667844,"Vargáné Piros Ildikó,Varga Péter,Kiss Lajos",Csaholc,község,Szabolcs-Szatmár-Bereg,1935,495,178,,,,,,,1,,,,,,
11162973-2-10,EUROCIRCUITS Kft.,3324,Felsőtárkány,2611'25,Elektronikai alkatrész gyártása,gwachter@eurocircuits.hu,17214666,2053223,EUROCIRCUITS N.V.,Felsőtárkány,község,Heves,7732,3444,1318,,,,,,,1,,,,,,
11421702-2-03,Hungary - Meat Kft.,6100,Kiskunfélegyháza,1011'25,"Húsfeldolgozás, -tartósítás, kivéve baromfi",hm@hungarymeat.hu,113078734,1975957,MI MEAT INVESTMENT LIMITED,Kiskunfélegyháza,város,Bács-Kiskun,25630,28382,14672,,,,,,,1,,,,,,
26395038-2-12,Flex Films Europa Kft.,2651,Rétság,2222'25,Műanyag csomagolóeszköz gyártása,sundeep.saksena@flexfilm.com,38526195,1833127,Flex Films Europa Sp. z o.o.,Rétság,város,Nógrád,1987,2645,1167,,,,,,,1,,,,1,,
11300184-2-18,LINDE GÁZ Magyarország Zrt.,9653,Répcelak,2011'25,Ipari gáz gyártása,linde-gas@hu.linde-gas.com,128898251,30262604,Linde Holdings Netherlands No.3 B.V.,Répcelak,város,Vas,1382,2371,1129,,,,,,,,,,,,,
13698386-2-44,Danubius Erőmű Kft.,2040,Budaörs,3511'25,Villamosenergia-termelés nem megújuló forrásból,danubius-cegkapu@veolia.com,1001350000,29400000,"Veolia Energia Magyarország Zrt.,Veolia Invest Hungary Zártkörűen Működő Részvénytársaság,CHP Hungária Befektetési Holding Zártkörűen Működő Részvénytársaság",Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
27926392-2-44,CETIN Hungary Zrt.,2045,Törökbálint,6110'25,"Vezetékes, vezeték nélküli és műholdas távközlés",cegeljaras@cetin.hu,75976000,28830000,CETIN International N.V.,Törökbálint,város,Pest,2941,14948,5406,,,,,1,,1,1,,,,,1
11469830-2-44,WEST HUNGÁRIA BAU Kft.,2051,Biatorbágy,4100'25,Lakó- és nem lakóépület építése,paar.attila@whb.hu,182946194,28189021,"Mózes Zoltán,Dénes Balázs,Tóth Csaba,Paár Attila",Biatorbágy,város,Pest,4412,15444,5851,,,,,1,,,,,,,,
27420322-2-07,Mészáros és Mészáros Zrt.,8086,Felcsút,4299'25,M.n.s. egyéb mérnöki létesítmény építése,titkarsag@mmzrt.com,87372169,28073011,"OPUS GLOBAL Nyilvánosan Működő Részvénytársaság,Talentis Group Beruházás-szervező Zártkörűen Működő Részvénytársaság",Felcsút,község,Fejér,2202,2014,725,,,,,,,,,,,,,
26536280-2-13,CHP Energia Zrt.,2040,Budaörs,7020'25,"Üzletviteli, egyéb üzletvezetési tanácsadás",chpenergia-cegkapu@veolia.com,20325000,27972000,CHP Hungária Befektetési Holding Zártkörűen Működő Részvénytársaság,Budaörs,város,Pest,2359,29291,11393,,1,,,1,1,1,1,,1,,,
25343007-2-44,BAYER CONSTRUCT Zrt.,2038,Sóskút,4100'25,Lakó- és nem lakóépület építése,info@bayerconstruct.hu,178904000,25662000,"Foreseen Construct Holding Zártkörűen Működő Részvénytársaság,Sokorai István",Sóskút,község,Pest,2489,3760,1468,,,,,,,,,,,1,,
12467037-2-15,MASTER GOOD Kft.,4600,Kisvárda,1012'25,"Baromfihús feldolgozása, tartósítása",kapcsolat@mastergood.hu,180992189,24455345,"PETER PORTFOLIO Korlátolt Felelősségű Társaság,BL PORTFOLIO Korlátolt Felelősségű Társaság,Baromfi-Coop Termelő és Kereskedelmi Korlátolt Felelősségű Társaság,DUO FILLO Korlátolt Felelősségű Társaság,Bárány Családi Vagyonkezelő Alapítvány",Kisvárda,város,Szabolcs-Szatmár-Bereg,3590,14616,6986,,,,,,,1,,1,,,,1
13113267-2-44,GE Vernova Hungary Kft.,2112,Veresegyház,2811'25,"Motor, turbina gyártása (kivéve légi-, közútijármű-motor)",GEVernova.Hungary@gevernova.com,406989000,23847000,GE Vernova Holding Kft.,Veresegyház,város,Pest,2868,21129,7903,,,,,,,1,,,,,,1
14398649-2-03,Mercedes-Benz Manufacturing Hungary Kft.,6000,Kecskemét,2910'25,Közúti gépjármű gyártása,postbox_mbmh@mercedes-benz.com,1710768947,23619635,Mercedes-Benz AG,Kecskemét,"megyeszékhely, megyei jogú város",Bács-Kiskun,32257,108651,55648,1,,1,,1,1,1,,,,,,1
28733232-4-03,Duna Aszfalt Zrt.,6060,Tiszakécske,4211'25,"Út, autópálya építése",kozpont@dunaaszfalt.hu,271850949,23087902,Szíjj László,Tiszakécske,város,Bács-Kiskun,13327,11654,5595,,,,,,,,,,,,,
10732346-2-04,Linamar Hungary Zrt.,5900,Orosháza,2932'25,Egyéb gépjárműalkatrész és -tartozék gyártása,linamarhungaryzrt@linamar.com,100281000,22277000,Linamar Financial,Orosháza,város,Békés,20222,24859,14151,,,,,1,,1,1,,,,,
12369410-2-44,GLS General Logistics Systems Hungary Kft.,2351,Alsónémedi,5320'25,"Egyéb postai, futárpostai tevékenység",managementgroup@gls-hungary.com,87361127,19702994,GLS Verwaltungs- und Service GmbH,Alsónémedi,nagyközség,Pest,4907,5584,2193,,,,,,,,,,,,,
11500535-2-16,CLAAS HUNGÁRIA Kft.,5200,Törökszentmiklós,2830'25,"Mezőgazdasági, erdészeti gép gyártása",hr-clh@claas.com,64221691,19238370,CLAAS Kommanditgesellschaft auf Aktien mbH,Törökszentmiklós,város,Jász-Nagykun-Szolnok,18516,18963,8980,,,,,,,1,,,,,,
10847392-2-44,OBO BETTERMANN HUNGARY Kft.,2347,Bugyi,2511'25,Fémszerkezet gyártása,info@obo.hu,76175629,17931280,Arvigrat Holding AG,Bugyi,nagyközség,Pest,11537,5330,2235,,,,,,,,,,,,,
11087209-2-06,ContiTech Rubber Industrial Kft.,6728,Szeged,2212'25,Egyéb gumitermék gyártása,info@cbg.contitech.hu,54268000,17917000,ContiTech Global Holding Netherlands B.V.,Szeged,"megyeszékhely, megyei jogú város",Csongrád-Csanád,28100,157282,88894,1,1,,1,1,1,1,1,1,1,1,,1
11246062-2-15,MICHELIN Hungária Kft.,4400,Nyíregyháza,2211'25,"Gumiabroncs, gumitömlő gyártása",mail.mhu@michelin.com,333660003,17878774,COMPAGNIE FINANCIERE MICHELIN,Nyíregyháza,"megyeszékhely, megyei jogú város",Szabolcs-Szatmár-Bereg,27454,114873,54384,,1,,1,1,1,1,,1,,1,,1
13310990-2-08,Aviagen Kft.,9097,Mezőörs,0147'25,Baromfitenyésztés,apalatinus@aviagen.com,51507514,15774541,"Aviagen Limited,Aviagen International Finance Four Limited",Mezőörs,község,Győr-Moson-Sopron,4848,957,351,,,,,,,,,,,,,
11672953-2-10,Robert Bosch Elektronika Kft.,3000,Hatvan,2612'25,Elektronikai áramköri kártya gyártása,info@hu.bosch.com,762421313,15701611,Robert Bosch Investment Nederland B.V.,Hatvan,város,Heves,6631,19505,9267,,,,,,,1,,,,,,
27300956-2-07,Mészáros M1 Útépítő Kft.,8086,Felcsút,4211'25,"Út, autópálya építése",urfi.beatrix@m1flotta.com,66260159,15460076,"V-Híd Vagyonkezelő Korlátolt Felelősségű Társaság,Talentis Group Beruházás-szervező Zártkörűen Működő Részvénytársaság",Felcsút,község,Fejér,2202,2014,725,,,,,,,,,,,,,
11063104-2-05,Birla Carbon Hungary Kft.,3581,Tiszaújváros,2013'25,Szervetlen vegyi alapanyag gyártása,bc.ctc@adityabirla.com,80152830,15167592,Indigold Carbon (Hungary) Korlátolt Felelősségű Társaság,Tiszaújváros,város,Borsod-Abaúj-Zemplén,4604,14060,7493,,,,,,,1,,,,,,
10794359-2-44,DELIREST Kft.,1117,Budapest,5622'25,Szerződéses étkeztetés és egyéb vendéglátás,info@delirest.hu,27294080,1887605,CEE Catering HoldCo Korlátolt Felelősségű Társaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
11069430-2-05,Weinberg'93 Kft,3950,Sárospatak,4100'25,Lakó- és nem lakóépület építése,info@weinberg.hu,33039926,1765786,Weinberg Vagyonkezelő Korlátolt Felelősségű Társaság,Sárospatak,város,Borsod-Abaúj-Zemplén,13909,10423,5291,,,,,1,,1,,1,,,,
11090799-4-06,SOLE-MiZo ZRt.,6728,Szeged,1051'25,Tejfeldolgozás,solemizo@solemizo.bonafarm.hu,115746913,1765021,"Bonafarm Zártkörűen Működő Részvénytársaság,Egyéb részvényes (SOLE-MiZo ZRt.)",Szeged,"megyeszékhely, megyei jogú város",Csongrád-Csanád,28100,157282,88894,1,1,,1,1,1,1,1,1,1,1,,1
11467917-2-08,Rudolph Autóipari Kft.,9027,Győr,5225'25,Logisztikai szolgáltatás,info.gyor@rudolph-log.com,10639595,1764299,Rudolph Holding GmbH,Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
32165610-4-07,Hungarikum Biztosítási Alkusz Zrt.,8086,Felcsút,6622'25,"Biztosítási ügynöki, brókeri tevékenység",info@hungarikumalkusz.hu,28510203,15027121,"Keszthelyi Holding Zártkörűen Működő Részvénytársaság,Mészáros Lőrinc",Felcsút,község,Fejér,2202,2014,725,,,,,,,,,,,,,
12488029-2-11,BorgWarner Oroszlány Kft.,2840,Oroszlány,2932'25,Egyéb gépjárműalkatrész és -tartozék gyártása,abogar@borgwarner.com,166289000,15006000,BorgWarner UK Holding and Services Ltd.,Oroszlány,város,Komárom-Esztergom,7586,17510,8221,,,,,,,1,,,,1,,
11107792-2-44,Yettel Magyarország Zrt.,2045,Törökbálint,6110'25,"Vezetékes, vezeték nélküli és műholdas távközlés",cegeljaras@yettel.hu,263763000,14582000,PPF TMT Bidco 1 N.V.,Törökbálint,város,Pest,2941,14948,5406,,,,,1,,1,1,,,,,1
23480874-2-05,B + N Referencia Zrt.,3644,Tardona,6421'25,Vagyonkezelés (holding),iroda@bnref.hu,207704361,14574427,"LSHF HUNGARY Korlátolt Felelősségű Társaság,SINGULIUM I Magántőkealap,SINGULIUM II Magántőkealap,SINGULIUM III Magántőkealap",Tardona,község,Borsod-Abaúj-Zemplén,1230,971,426,,,,,,,,,,,,,
10552821-2-11,Magyar Suzuki Zrt.,2500,Esztergom,2910'25,Közúti gépjármű gyártása,ZVarga@suzuki.hu,920887105,14461740,"Suzuki Motor Corporation,Itochu Corporation,Magyar Judit",Esztergom,megyei jogú város,Komárom-Esztergom,10011,28521,12440,,,,1,1,,1,,,,1,,
10584215-2-07,Howmet-Köfém Kft.,8000,Székesfehérvár,2932'25,Egyéb gépjárműalkatrész és -tartozék gyártása,istvan.katus@howmet.com,212677000,13912000,Howmet Luxembourg S.á r.l.,Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
10370782-2-16,JÁSZ-PLASZTIK kft,5100,Jászberény,2720'25,"Akkumulátor, szárazelem gyártása",jog@jp.hu,116673746,13747452,JP Family Korlátolt Felelősségű Társaság,Jászberény,város,Jász-Nagykun-Szolnok,22135,25323,12680,,,,,,,1,,,,,,
10738885-2-20,ZÁÉV Zrt.,8900,Zalaegerszeg,4100'25,Lakó- és nem lakóépület építése,zaev@zaev.hu,95544701,13299302,"Pannon Speed Pro Vagyonkezelő Zártkörűen Működő Részvénytársaság,Istenes István,Csalló Imre László",Zalaegerszeg,"megyeszékhely, megyei jogú város",Zala,10246,53960,27954,,,1,,1,,1,,,,,,
10741980-2-08,E.ON Észak-dunántúli Áramhálózati Zrt.,9027,Győr,3514'25,Villamosenergia-elosztás,ertesites.eed@eon-hungaria.com,197957000,13252000,E.ON Hungária Energetikai Zártkörűen Működő Részvénytársaság,Győr,"megyeszékhely, megyei jogú város",Győr-Moson-Sopron,17456,129373,64528,1,1,1,1,1,1,1,1,1,,,,1
26648525-2-44,WIZZ Air Hungary Zrt.,1095,Budapest,5110'25,Légi személyszállítás,Notices.Legal_@wizzair.com,1275625943,14949011,WIZZ Air Holdings Plc,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
12874983-2-44,FERRO-PRESS Fémipari Szolgáltató Kft.,1061,Budapest,2553'25,Fémmegmunkálás,,18825995,1792513,BPD Holding Korlátolt Felelősségű Társaság,Budapest,főváros ,Budapest,52511,1685209,973656,1,1,1,1,1,1,1,1,1,1,1,,1
10578863-2-19,VEMÉV-SZER Kft.,8200,Veszprém,4100'25,Lakó- és nem lakóépület építése,,10153468,1712318,"Nagy Imre,Varga Zoltán,Németh András,Takácsné Ertli Olga,Rénes Zoltán István,Boross Ottó,Szücs Dániel,Foky Gábor Árpád,Horváth Mihály,Judi Balázs,Kadnár János,Nagy Gábor,Steierlein Ferenc,Strennerné Kalmár Bernadett,Szücs Balázs,dr. Szücs Szabolcs",Veszprém,"megyeszékhely, megyei jogú város",Veszprém,12692,55118,27698,,,,1,1,1,1,,,,,,1
11506988-2-16,SIGNAL-PRINT Kft.,5100,Jászberény,1812'25,Nyomás (kivéve: napilap),signal@nyomdasz.hu,17430366,1706966,"Birgés Tibor,Pető Balázs",Jászberény,város,Jász-Nagykun-Szolnok,22135,25323,12680,,,,,,,1,,,,,,
12611607-2-44,Lear Corporation Hungary Kft.,2100,Gödöllő,2931'25,"Gépjárművillamossági, -elektronikai készülékek gyártása",learcorporationhungary.corporate@lear.com,285752008,10738561,Lear Mexican Seating Corporation,Gödöllő,város,Pest,6193,32410,13676,,,,1,1,,1,,,,,,
11457695-2-07,DENSO Gyártó Magyarország Kft.,8000,Székesfehérvár,2932'25,Egyéb gépjárműalkatrész és -tartozék gyártása,a.szincsak@eu.denso.com,318145594,12919328,Denso International Europe B.V,Székesfehérvár,"megyeszékhely, megyei jogú város",Fejér,17089,95241,48799,,1,1,1,1,1,1,,,1,,,1
13292629-2-44,IBIDEN Hungary Kft.,2336,Dunavarsány,2343'25,Kerámia szigetelő gyártása,info_IHU@ibiden.com,83371855,12261281,"IBIDEN Europe B.V.,IBIDEN Co. Ltd.",Dunavarsány,város,Pest,2252,8987,3392,,,,,1,,1,,,,,,
11315315-2-18,Schaeffler Savaria Kft.,9700,Szombathely,2932'25,Egyéb gépjárműalkatrész és -tartozék gyártása,info.schaeffler.savaria@schaeffler.com,419448408,12249181,Schaeffler Bühl Auslandsholding GmbH,Szombathely,"megyeszékhely, megyei jogú város",Vas,9870,76918,36687,,,1,,1,,1,,,,,1,
13065188-2-05,Robert Bosch Energy and Body Systems KFT.,3526,Miskolc,2931'25,"Gépjárművillamossági, -elektronikai készülékek gyártása",info@hu.bosch.com,540062158,12197755,Robert Bosch Investment Nederland B.V.,Miskolc,"megyeszékhely, megyei jogú város",Borsod-Abaúj-Zemplén,23667,141440,79234,1,1,,1,1,1,1,,1,,1,,1
10523667-2-44,HYGINETT Kft.,2141,Csömör,1722'25,"Háztartási, egészségügyi papírtermék gyártása",hyginettkft.im@pg.com,96241000,11893000,Detergent Products Sárl,Csömör,nagyközség,Pest,2271,10194,3678,,,,,1,,,,,,1,,
25733037-2-19,Valeo eAutomotive Hungary Kft.,8200,Veszprém,2931'25,"Gépjárművillamossági, -elektronikai készülékek gyártása",louise.carder@valeo.com,253168082,11695251,Valeo eAutomotive Germany GmbH,Veszprém,"megyeszékhely, megyei jogú város",Veszprém,12692,55118,27698,,,,1,1,1,1,,,,,,1
10886861-2-44,Coca-Cola HBC Magyarország Kft.,2330,Dunaharaszti,1107'25,"Üdítőital, ásványvíz gyártása",annamaria.nagy@cchellenic.com,239774687,11266020,CC Beverages Holdings II B.V.,Dunaharaszti,város,Pest,2917,23700,9196,,,,,1,,1,,,,,,
